Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
0077bb2a9fca474a1c4d192f801fad5cabb6971b8b92228189ce8becd806fea1,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.090031,51.534466,On or near Eldred Road,E01000052,Barking and Dagenham 019D,Drugs,Offender given penalty notice,
c7ace2482f56dfdb633e79de449a41284d1b8c46e74c6b076c38e423b34b5bd0,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.093056,51.533135,On or near Sparsholt Road,E01000052,Barking and Dagenham 019D,Drugs,Status update unavailable,
c782aab2a149796c13ec62ecf5262e6dc264e759ec7456b6488d59ceb5a2a93a,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.098509,51.525978,On or near Radford Way,E01000092,Barking and Dagenham 019E,Drugs,Local resolution,
e4ea3f4e582cab26262d50f42ffe2e1815a00b09b582870e2815e05fefeeb8be,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.14832,51.531839,On or near Pedestrian Subway,E01000087,Barking and Dagenham 020B,Drugs,Offender fined,
09052faffdea495c4c4cbf1986b0d8c469a5e5a39a7a1d007cc3680cb05ad4fc,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.148275,51.533647,On or near Heathway,E01000087,Barking and Dagenham 020B,Drugs,Offender fined,
66ade34638b5040ba27bd598b189b3de5a247d67304886df1ad3654420ccd736,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.154481,51.53133,On or near Review Road,E01000088,Barking and Dagenham 020C,Drugs,Offender given a drugs possession warning,
266e86c9c05a77c76481848c6bf866dfde6c6d338ecb2bba2269b8c41b6bc979,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.155673,51.53183,On or near Ballards Road,E01000088,Barking and Dagenham 020C,Drugs,Offender given a drugs possession warning,
0400aa3c76b78c5cd80a08699edb4cbfc4b1eedc218f8da57d03d75cba334807,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.157565,51.533414,On or near Ballards Close,E01000088,Barking and Dagenham 020C,Drugs,Offender given a drugs possession warning,
2251f57dd0c9d2c1b7ccfba3eab14c3154d77e8ba291cd40ef8027bd9e96039a,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.085986,51.531777,On or near King Edward'S Road,E01000048,Barking and Dagenham 021B,Drugs,Court case unable to proceed,
1a8a667183ba6886f7980a807fc07ad7b0f3b112509fc8b73618172b0fd8fbf9,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.078423,51.533188,On or near Hardwicke Street,E01033587,Barking and Dagenham 021E,Drugs,Offender given a drugs possession warning,
4fea3de9cb556157b61be1a5a4778adc0a32b761510eec7418894a88da3c1979,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.073343,51.532136,On or near Fresh Wharf Road,E01033587,Barking and Dagenham 021E,Drugs,Offender given a drugs possession warning,
f3cb9fddda67f36524fe68b432b343eb7b987cba5fa14d5714898c32da5e2e88,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.070764,51.536309,On or near Supermarket,E01033587,Barking and Dagenham 021E,Drugs,Offender given penalty notice,
68402893b411c1cb8713bbc4ed02a2e11a3dc6ab466004d2a97d4acaf98216db,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.076682,51.531681,On or near Abbey Road,E01033587,Barking and Dagenham 021E,Drugs,Offender given a drugs possession warning,
d815417671a9be1359a90ef6e588d8fd91abd5d1ec110bd04fbf6c65d62fd5c9,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.076682,51.531681,On or near Abbey Road,E01033587,Barking and Dagenham 021E,Drugs,Offender given a drugs possession warning,
4c614df5f072b4386099d3901c7f4555ff11e4649bf6c96ec47f81e0cc2f14e4,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.081063,51.531325,On or near Gascoigne Road,E01033588,Barking and Dagenham 021F,Drugs,Offender given community sentence,
10df1c17f666fa242a4259c9440764050a2dc2b0bcd9822f8e47c0416138425e,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.124063,51.558989,On or near Haydon Road,E01000019,Barking and Dagenham 023A,Drugs,Offender given a drugs possession warning,
1ffb4ff77389069d4e48d38989ecce448688478aaebfad6e92da47d6e48c7d45,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.129192,51.565938,On or near Scottes Lane,E01000097,Barking and Dagenham 023C,Drugs,Offender given a drugs possession warning,
d238d89e685ce552ee49b2b327f16c125c0f10c9e667f593fbb2ebdd9908624b,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.199867,51.664679,On or near Taylor'S Lane,E01000254,Barnet 001D,Drugs,Investigation complete; no suspect identified,
fa72dd162e80941a9686ddfbdf0ff525844ddd72f272534fe323b92ce082cae0,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.199867,51.664679,On or near Taylor'S Lane,E01000254,Barnet 001D,Drugs,Offender given a drugs possession warning,
b8652145186e6262fb7a4bfe0b183eee815c621f6a8ca314edcfc3fdf25ceb05,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.203597,51.652984,On or near Manor Road,E01000292,Barnet 001E,Drugs,Offender deprived of property,
5256c69b5cd683cdb32a35a622de8b961177219f3c060c052eb0f59cf7fd4c02,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.200542,51.652388,On or near Further/Higher Educational Building,E01000292,Barnet 001E,Drugs,Offender given community sentence,
5c5dccaabe54bb7febfa91317689f1990ed98e79e6c500d64a36c99227385790,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.200947,51.652745,On or near Further/Higher Educational Building,E01000292,Barnet 001E,Drugs,Offender given community sentence,
eca26645a64529b44cd720f3aa7ff4408579fb8d44a5dccd64e90da2d6cd8377,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.168107,51.654773,On or near Westbrook Close,E01000167,Barnet 002A,Drugs,Offender given a drugs possession warning,
a6996e9be821a6b0a5880ae7854f1ade9a2ca4f3d63d9eaafe1f80ee6b36a2a8,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.182663,51.65303,On or near Potter'S Road,E01000247,Barnet 002C,Drugs,Court result unavailable,
360016d449bca5a6b91ec8c6bad51a79b0b9ab3bee94c319d3c1baed0a1f375d,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.180242,51.652831,On or near Sports/Recreation Area,E01000247,Barnet 002C,Drugs,Investigation complete; no suspect identified,
2785c668d06c2d77bd348503ee0f6382408b62d2cafc30bac5382054ffce1835,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.182663,51.65303,On or near Potter'S Road,E01000247,Barnet 002C,Drugs,Offender given a drugs possession warning,
933cc9267155fb0a333723601239eb285bbf6e4e983772272d3379948f733f96,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.181755,51.648268,On or near Station Road,E01000251,Barnet 002D,Drugs,Offender given a drugs possession warning,
73fb2fa5d25bd48d6fe8d326877b014cb9a6c90547edc133bfc142b879ec09c7,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.17874,51.650281,On or near Plantagenet Road,E01000251,Barnet 002D,Drugs,Offender given a drugs possession warning,
3c4f6c4675e96e75adb77c8eeb4d5e67ae7c45960f2ac06aa4c974f79ccae22b,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.181295,51.651813,On or near Hexham Road,E01000251,Barnet 002D,Drugs,Local resolution,
605a20c760cb9d451c0bf98bd2def05495f72c1681eba620e211691111609444,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.193205,51.646763,On or near Brook Place,E01000289,Barnet 004D,Drugs,Status update unavailable,
605a20c760cb9d451c0bf98bd2def05495f72c1681eba620e211691111609444,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.193205,51.646763,On or near Brook Place,E01000289,Barnet 004D,Drugs,Court result unavailable,
a5aac2bfd68db8edf8c494d9b579d6b701064ddbc2e68fa25a7930ca78dae444,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.201307,51.644001,On or near Rossiter Fields,E01000291,Barnet 004E,Drugs,Court result unavailable,
b9ec9ff7a5d9764640aa99063f532b21724c7f001b2f5339fd15df11609ee8e1,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.187164,51.646365,On or near Western Parade,E01000268,Barnet 005B,Drugs,Status update unavailable,
4f9704f2a7caceb31e132281380162fabb535025561c405f8e1e6868e577200a,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.18342,51.642053,On or near Dale Close,E01000269,Barnet 005C,Drugs,Offender given a drugs possession warning,
ea94063ba8b36a46ecf63c00e96898b2d0632981b3b6a6c14fb9388044e8501a,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.166155,51.648691,On or near Victoria Close,E01000170,Barnet 006A,Drugs,Offender given penalty notice,
25734a10b1fc90b5411f98153d9f6a840025c6202e8ef8682126c6f14f58b195,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.223364,51.645461,On or near Farm Close,E01000290,Barnet 007F,Drugs,Offender given a caution,
9804c0883b41398d9abdebb2981c47f993b4decee0efa2163e73254144e3cb9d,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.139624,51.625181,On or near Whitehouse Way,E01000122,Barnet 009E,Drugs,Offender given penalty notice,
a130fda13b2d3202d0cf9d330fe067bff6c6b128d0fbdd155bd61a15311f6a27,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.16245,51.621279,On or near Queens Well Avenue,E01000266,Barnet 011B,Drugs,Offender sent to prison,
8f21e241ae420c8fda3264b8b84dfb01e6e50b37620844db9eff07c47e1602b9,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.178302,51.619718,On or near Whittington Mews,E01000321,Barnet 012E,Drugs,Offender given a drugs possession warning,
84511636663cd3319176a9ddbfb84018020f949fd83f42203e56d8158dbee851,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.246952,51.614747,On or near The Broadway,E01000264,Barnet 016D,Drugs,Investigation complete; no suspect identified,
13096c91f534caeddc975d8a664a416d70646163e566504ee06025a2b1ab8e97,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.246952,51.614747,On or near The Broadway,E01000264,Barnet 016D,Drugs,Offender given a drugs possession warning,
0e7d0f6de5a8e482e971bab37981998a9ba2eb214457d71721ffc19960c36ece,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.223853,51.611478,On or near Meldex Close,E01000255,Barnet 017A,Drugs,Offender given penalty notice,
49b3c7d168f1a22d6585d9ead2b67cc4893baa2c2f229ffbd15a83011d83bb55,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.214448,51.618907,On or near Hillview Road,E01000262,Barnet 017D,Drugs,Court result unavailable,
e068c176666a7947347f22b456d666b1ec9d75ac6220c921206bf2a05e8a3d96,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.277456,51.613634,On or near Old Rectory Gardens,E01000193,Barnet 018B,Drugs,Offender fined,
c2216b2821761b9ae8479bdc2f20da0a058d67eedf7d2d439768d89988bc79b4,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.27992,51.611485,On or near Nightclub,E01000194,Barnet 018C,Drugs,Court result unavailable,
c5df32c9ebcda4bfc57f0aa4808cc1509c4646486cff221228cad1e34ed6da2a,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.278298,51.610473,On or near Forumside,E01000194,Barnet 018C,Drugs,Offender given penalty notice,
dceba8855ec712f98892c4a4383f4ff8fd4710a6e49167e716ed866b8dd75b82,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.189304,51.608972,On or near Huntly Drive,E01000303,Barnet 020D,Drugs,Offender given penalty notice,
0f34b6f9a4d81d827445b7f35d9cfa9bbd5cf8546d31f64a3b3220c4417a1f70,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.255608,51.609724,On or near Grange Road,E01000132,Barnet 021B,Drugs,Offender given a drugs possession warning,
58c6ed711ad1c99ec4a7d073b93aaa5eb5c33032e7529446d34b43dd02fabc01,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.250433,51.613612,On or near Hale Lane,E01000234,Barnet 021D,Drugs,Offender given a drugs possession warning,
ef3db9fb313e0eaf4d782b8c5b6743cbb765b96c31680f56e6fecac717f3dbd7,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.160215,51.606163,On or near Coppetts Close,E01000315,Barnet 022F,Drugs,Offender given a drugs possession warning,
78ff7810895700e73dc39186f6160bd5478e38dd198a5fa3bae620eb07490c9b,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.161343,51.609715,On or near Summerfield Avenue,E01000315,Barnet 022F,Drugs,Offender given a drugs possession warning,
19d1ffdd88c875600fb6b182605279eddf6a73db6dfa9afbe4b29079925881f6,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.253759,51.599193,On or near Booth Road,E01000131,Barnet 024E,Drugs,Offender fined,
a52c015ad9766780ebb232964456e8efc05fdd496f20dffc34afffca3a7775ec,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.253759,51.599193,On or near Booth Road,E01000131,Barnet 024E,Drugs,Offender fined,
3ad20748a7a5e8310abf7c1f96ef46ebdb1fbd94afca9a02ff17733930a95e74,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.213817,51.608133,On or near Colebrook Close,E01000259,Barnet 025D,Drugs,Investigation complete; no suspect identified,
8070db544ddd871657377b1a4f8ff077f059bef9bbe49b4e4c3c39338ebd96d0,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.244358,51.604467,On or near Satchell Mead,E01000152,Barnet 026C,Drugs,Offender given penalty notice,
c8a3a57cf995ecbc65284114bcc9845a7a29fc39af1c9c013cfdb116a3dcc3e3,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.174092,51.602594,On or near High Road,E01000316,Barnet 027E,Drugs,Court case unable to proceed,
c25c7116b931184fb7b249bf92ae977bb70040ed210c2bc7a157f7cdbd775028,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.193617,51.594542,On or near Howes Close,E01000202,Barnet 028D,Drugs,Investigation complete; no suspect identified,
2619700d08aace2fedfba2fa7ff9428028d8c189f529565c1f6ef4602c593c0b,2015-02,Metropolitan Police Service,Metropolitan Police Service,-0.166395,51.589345,On or near Deanery Close,E01000181,Barnet 029D,Drugs,Investigation complete; no suspect identified,
