Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category
2510ef8b8d566edf2a89a4c2fc7647fff0db4afde25e9eb3a886870e6955a1d5,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.086995,51.477614,On or near Owgan Close,E01003918,Southwark 020D,Drugs,Offender given a drugs possession warning
fa0f8b961b4fe230fb20026fbb6e5c18c3d1aa664db7f1357691d4e33c5d696b,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.086995,51.477614,On or near Owgan Close,E01003918,Southwark 020D,Drugs,Offender given a drugs possession warning
0e28b5d6d32c676789631c6f7aac56606519ed9d0839441508de872fdef94256,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.088008,51.478871,On or near Durfey Place,E01003925,Southwark 020E,Drugs,Investigation complete; no suspect identified
1dc4f5636f7fc964f5b97b738744ead2c855e3e48af99a04a48844a241e66fe9,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.093291,51.47616,On or near Bullace Row,E01003921,Southwark 021C,Drugs,Investigation complete; no suspect identified
883a1ffe45028eb6c515aaed9687d73faa25d6d85f4830450f04f9494166d0d9,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.093576,51.473476,On or near Supermarket,E01003921,Southwark 021C,Drugs,Defendant found not guilty
eb34e284b2076e9eedf42e3f277702ead961ac69afeb2ccb7066141e35f2d7c1,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.091238,51.475659,On or near D'Eynsford Road,E01003921,Southwark 021C,Drugs,Court result unavailable
86a3890711790457cad1e45e1e9960578007da2d4b8f664a203f79113fd55532,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.097145,51.479739,On or near Sultan Street,E01003924,Southwark 021E,Drugs,Offender fined
75ddf9b48847a800abef29a7cf779c0c1ab1639412311404de449e888c720141,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.066068,51.475616,On or near Marmont Road,E01004008,Southwark 022B,Drugs,Offender given a drugs possession warning
3fab5b37d239c6c370d5fc96e8825c402263270e031cbb90f351b8756e30b940,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.067182,51.477532,On or near Leontine Close,E01004008,Southwark 022B,Drugs,Offender sent to prison
91c8929c4c9752202efc514c76a153c96d91a5ad63ca78b0d89279f7014496ca,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.066068,51.475616,On or near Marmont Road,E01004008,Southwark 022B,Drugs,Offender given conditional discharge
98d186bf8e24364f1fbf290113a45e50c0cfb93570269d070be2cd73f6f2de20,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.072583,51.473421,On or near Basing Court,E01004067,Southwark 022E,Drugs,Investigation complete; no suspect identified
b94ffd3d27883ab25dca0f51532d1c3a0d9ed6a5751fbe571a7d0517e59937fb,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.071111,51.471122,On or near Oliver Mews,E01004067,Southwark 022E,Drugs,Local resolution
cbb60004a7af3c5f54413e26881f19ca52e76ff0c3fb9b5534b05f5d55e9480e,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.067244,51.473693,On or near Bus/Coach Station,E01004067,Southwark 022E,Drugs,Offender given a caution
